pays,annee,total,male,female,F 00-14,M 00-14,F 15-29,M 15-29,F 30-44,M 30-44,F 45-59,M 45-59,F 60+,M 60+,00-14,15-29,30-44,45-59,60+
Australia,1989,16814400.0,8387930,8426470,1827114.0,1925436.0,2053729.0,2113107.0,1926873.0,1958107.0,1196246.0,1246571.0,1422508.0,1144709.0,3752550.0,4166836.0,3884980.0,2442817.0,2567217.0
Australia,1990,17065100.0,8509474,8555626,1835272.0,1934238.0,2062290.0,2120989.0,1976671.0,2001186.0,1230487.0,1281752.0,1450906.0,1171309.0,3769510.0,4183279.0,3977857.0,2512239.0,2622215.0
Australia,1991,17284000.0,8614154,8669846,1841797.0,1940377.0,2062411.0,2119585.0,2015478.0,2033710.0,1272517.0,1323050.0,1477643.0,1197432.0,3782174.0,4181996.0,4049188.0,2595567.0,2675075.0
Australia,1992,17495000.0,8714049,8780951,1856412.0,1954466.0,2053920.0,2109310.0,2047536.0,2058743.0,1321591.0,1371471.0,1501492.0,1220059.0,3810878.0,4163230.0,4106279.0,2693062.0,2721551.0
Australia,1993,17667000.0,8794741,8872259,1871931.0,1969259.0,2036094.0,2090245.0,2070575.0,2074888.0,1372540.0,1421687.0,1521119.0,1238662.0,3841190.0,4126339.0,4145463.0,2794227.0,2759781.0
Australia,1994,17855000.0,8885029,8969971,1886994.0,1984389.0,2020608.0,2075110.0,2093191.0,2091821.0,1426109.0,1474463.0,1543069.0,1259246.0,3871383.0,4095718.0,4185012.0,2900572.0,2802315.0
Australia,1995,18072000.0,8992313,9079687,1899174.0,1998533.0,2012088.0,2068906.0,2117593.0,2112131.0,1481498.0,1528956.0,1569334.0,1283787.0,3897707.0,4080994.0,4229724.0,3010454.0,2853121.0
Australia,1996,18311000.0,9113662,9197338,1913356.0,2018700.0,2008603.0,2061200.0,2139720.0,2134075.0,1540601.0,1587269.0,1595058.0,1312418.0,3932056.0,4069803.0,4273795.0,3127870.0,2907476.0
Australia,1997,18517000.0,9221263,9295737,1918854.0,2031821.0,2005569.0,2054812.0,2154982.0,2151617.0,1596557.0,1641600.0,1619775.0,1341413.0,3950675.0,4060381.0,4306599.0,3238157.0,2961188.0
Australia,1998,18711000.0,9324319,9386681,1919564.0,2041622.0,2003817.0,2050806.0,2166757.0,2166751.0,1650817.0,1692947.0,1645726.0,1372193.0,3961186.0,4054623.0,4333508.0,3343764.0,3017919.0
Australia,1999,18926000.0,9437479,9488521,1922318.0,2054233.0,2002868.0,2048322.0,2180568.0,2183500.0,1707107.0,1745004.0,1675660.0,1406420.0,3976551.0,4051190.0,4364068.0,3452111.0,3082080.0
Australia,2000,19153000.0,9555006,9597994,1927759.0,2068857.0,1999020.0,2043477.0,2196866.0,2201466.0,1765535.0,1798170.0,1708814.0,1443036.0,3996616.0,4042497.0,4398332.0,3563705.0,3151850.0
Australia,2001,19413000.0,9686738,9726262,1932916.0,2073974.0,2012161.0,2062351.0,2216874.0,2221797.0,1822794.0,1847705.0,1741517.0,1480911.0,4006890.0,4074512.0,4438671.0,3670499.0,3222428.0
Australia,2002,19651400.0,9805864,9845536,1936014.0,2076629.0,2019417.0,2074583.0,2237760.0,2241935.0,1878394.0,1895558.0,1773951.0,1517159.0,4012643.0,4094000.0,4479695.0,3773952.0,3291110.0
Australia,2003,19895400.0,9927012,9968388,1939990.0,2079498.0,2025312.0,2085738.0,2259491.0,2262196.0,1933177.0,1943319.0,1810418.0,1556261.0,4019488.0,4111050.0,4521687.0,3876496.0,3366679.0
Australia,2004,20127400.0,10043018,10084382,1943151.0,2080780.0,2032195.0,2099311.0,2274584.0,2275491.0,1982726.0,1987334.0,1851726.0,1600102.0,4023931.0,4131506.0,4550075.0,3970060.0,3451828.0
